FEN;move;first_eval;is_capture;move_impact
1kr1b2r/1ppq4/4p1p1/p2pPnQp/1P1P3P/2PB1RPN/P7/2K4R w - - 0 25;a2a3;False;22;70
1kr1br2/1ppq4/4p1p1/p2pPnQp/1P1P3P/P1PB1RPN/8/2K4R w - - 1 26;h1f1;False;82;106
2r2k2/pp3ppp/5b2/q1pp4/3P4/1P6/P4PPP/2RQR1K1 b - - 1 22;f6d4;True;-14;87
8/6p1/2kp1p2/p1p5/2P5/R3P2P/P5PK/2r5 b - - 8 42;c1c4;True;252;66
1kr1br2/1pp5/1q2p1p1/p2pPnQp/1P1P3P/P1PB1RPN/1K6/5R2 w - - 5 28;f1c1;False;67;83
2b5/8/4k2p/4P1p1/2PNK3/8/8/8 b - - 0 66;e6f7;False;0;88
8/6p1/2kp1p2/R1p5/4P3/2r4P/P5PK/8 b - - 0 44;g7g5;False;313;149
1kr2r2/1pp5/1q4p1/pb1pPpQp/1P1P3P/P1P2RPN/1K6/2R5 w - - 0 30;h3f4;False;151;83
3q1k2/pp3ppQ/5r2/2pp4/1P1b4/8/P4PPP/2RR2K1 b - - 0 27;f6h6;False;-15;50
1kr2r2/1pp5/1q4p1/p2pPpQp/1PbP1N1P/P1P2RP1/1K6/2R5 w - - 2 31;f3f2;False;112;99
r4rk1/1bqpb1pp/ppn1pn2/2p5/P4P2/2NP1NP1/1PP3BP/R1BQ1RK1 w - - 1 12;b2b3;False;-13;73
3q1k2/pp3ppQ/5r2/2pp4/1P1b4/8/P4PPP/2RR2K1 b - - 4 29;f6h6;False;1;78
1k3r2/1p6/2r3Q1/pqPpPp1p/1Pb2N1P/P1P3P1/1K3R2/2R5 w - - 1 34;g6g7;False;264;197
r4rk1/2qp2pp/pp2pb2/2pn4/P4P2/1P1P1RP1/1BP1N2P/R2Q2K1 w - - 3 17;a1c1;False;-15;581
r4rk1/2qp2pp/p3pb2/1ppn4/P4P2/1P1P1RP1/1BP1N2P/2RQ2K1 w - - 0 18;c2c4;False;-50;309
r4rk1/2qpn1pp/p3pb2/1pp5/P1P2P2/1P1P1RP1/1B2N2P/2RQ2K1 w - - 1 19;b2c3;False;0;114
1kr5/1p1Q4/1q2P3/2rp1p1p/1pb2N1P/P1P3P1/1K1R4/2R5 w - - 0 38;a3b4;True;184;96
1kr5/1p1Q4/1q2P3/r2p1p1p/1Pb2N1P/2P3P1/1K1R4/2R5 w - - 1 39;b2b1;False;105;223
r4rk1/1bq1b1pp/p1n1pn2/1ppp4/5P2/1P2NNP1/PBPP2BP/R2Q1RK1 w - - 0 14;d2d4;False;58;144
8/pp4p1/8/P2k1p1P/3p4/P2K1PP1/8/8 b - - 0 44;a7a6;False;-334;122
r1bk3r/ppppnpp1/2n5/1NN5/7p/2P3P1/PP1RBP1P/5RK1 b - - 0 16;b7b6;False;120;65
2n2rk1/3p2pp/pr6/2p5/P1P2N2/3P2P1/5R1P/4R1K1 w - - 3 29;f4d5;False;121;79
r1bk2nr/1ppp1ppp/p1n5/8/4q3/2N5/PPPQBPPP/RN3RK1 b - - 1 10;e4h4;False;80;104
2n5/2N2kpp/3p4/2p5/P1P5/3r2P1/5K1P/4R3 w - - 0 34;e1b1;False;105;105
rnbr2k1/ppp1npb1/7p/3BP2q/3P1ppP/2NN4/PPP3P1/R1BQ2KR b - - 3 13;e7g6;False;364;532
8/2R5/1n2k3/7P/1rpp4/4N1P1/5K2/8 w - - 0 43;e3d1;False;-8;66
rnbr2k1/ppp2pb1/7p/3BP2q/3P1BpP/2N5/PPP3P1/R2Q2KR b - - 0 15;b8c6;False;-45;99
r2qkb1r/1bp2p1p/p1np1np1/1p2p3/3PP3/1BP2N2/PP3PPP/RNBQK2R w KQkq - 2 9;a2a4;False;45;52
r2q1rk1/1bpnnpbp/p2p2p1/1p1Pp1B1/P3P3/1BP2N2/1P2QPPP/RN2K2R w KQ - 5 13;a4b5;True;80;51
r1br2k1/p1p2pb1/6qp/2p1P3/3P1BpP/2P5/PP1QN1P1/R5KR b - - 2 19;c8b7;False;0;90
r2r2k1/pbp2pb1/6qp/2p1P3/3P1BpP/2P5/PP1QN1PR/R5K1 b - - 4 20;c5d4;True;175;59
3r4/1b2k1p1/p2r4/Pp1p4/4p3/1P4P1/2R3BP/2R3K1 b - - 1 36;d5d4;False;268;228
3r4/1bR1k1p1/p2r4/Pp6/3pp3/1P4P1/6BP/2R3K1 b - - 1 37;d8d7;False;87;62
r2r2k1/pb3pb1/6qp/4P3/3N1BpP/4Q3/PP4PR/R5K1 b - - 0 23;h6h5;False;104;64
r2q1rk1/2pnn1bp/P2p4/3b1pB1/1P1Np3/2P5/2B1QPPP/RN2K2R w KQ - 0 19;a1a5;False;144;112
8/4k3/p1R4P/1p1p1b2/1P1P1K2/r4N2/7P/8 w - - 1 44;h6h7;False;615;180
r1bq1rk1/pp2npb1/2p3pp/3pp3/4P3/1BPPBN1P/PPQ2PP1/R3K2R w KQ - 0 14;e1c1;False;31;66
4r1k1/pb3p2/6q1/4r2p/3N1QpP/6P1/PP3R2/2R3K1 b - - 1 28;e5e1;False;199;165
r4rk1/2q1n1bp/P2p4/R1p1npB1/1P2p3/1NP5/4QPPP/1N3RK1 w - - 3 23;b4b5;False;82;104
r2q2k1/p1pb1ppp/1p3n2/4b3/8/2NB4/PPP2PPP/R1BQ2K1 w - - 0 14;c1g5;False;-15;57
r4rk1/2q3bp/P5n1/RPppnpB1/2P1p3/1N6/4QPPP/1N3RK1 w - - 0 25;b5b6;False;18;185
8/2k5/R7/1p1p4/3P1K1P/5N2/8/1r6 w - - 1 50;f3g5;False;539;123
r5k1/p1p1qppp/1pb2n2/4b1B1/8/2N5/PPP2PPP/R2Q1BK1 w - - 4 16;c3d5;False;-31;69
r4r2/pp1qnpbk/2p1b1pp/3p4/3NPB2/1BP4P/PP1Q1PP1/2KR3R w - - 5 19;h1e1;False;180;67
3r1r2/pp1qnpbk/2p1b1pp/3p4/3NPB2/1BP4P/PP1Q1PP1/2KRR3 w - - 7 20;d2e3;False;142;62
r4rk1/6bp/P2q2n1/1R1PnpB1/2p1p3/1N6/4QPPP/1N3RK1 w - - 0 28;b3d2;False;-100;123
2nrr3/Qp1q2bk/2p1p1pp/3p4/4PB2/1BP4P/PP3PP1/2KRR3 w - - 1 23;a7e3;False;138;69
2nrr3/1p1q2bk/2p3pp/4p3/3pP3/1BP1Q2P/PP3PPB/2KRR3 w - - 0 25;c3d4;True;35;128
r1bqk1nr/1ppp1pbp/p1n3p1/8/B2NP3/4B3/PPP2PPP/RN1QK2R b KQkq - 2 7;g8f6;False;36;76
2nrr3/3q2bk/2p3pp/1p6/3pP3/1B1Q3P/PP3PPB/2KRR3 w - - 0 27;a2a4;False;-75;63
r1b1k1nr/ppppqpb1/7p/4P1p1/3p4/5NB1/PPP2PPP/R2QKB1R b KQkq - 1 10;e7b4;False;54;98
2r3k1/4P1b1/6np/1R6/r3p3/4B1P1/2pN1P1P/5RK1 w - - 2 37;b5c5;False;95;115
8/3b1k2/5p2/p6p/P5pP/2N1K1P1/8/8 b - - 3 46;f7e6;False;341;177
r1b1k1nr/pppp1pb1/7p/4P1p1/1q1p4/6B1/PPPN1PPP/R2QKB1R b KQkq - 3 11;h6h5;False;-14;66
8/3b4/4kp2/p6p/P2K2pP/2N3P1/8/8 b - - 5 47;f6f5;False;260;230
4b3/6N1/3k4/p4p2/3K2pP/6P1/8/8 b - - 2 51;e8d7;False;150;106
r1brn1k1/1pp2pbp/p1p3p1/8/B3P3/2N2P2/PPPB2PP/R3K2R b KQ - 2 12;e8d6;False;48;54
r1b1k2r/pppp2b1/5n2/6pp/1q1p4/3B2BP/PPPN1PP1/R2QK2R b KQkq - 1 14;e8d8;False;8;114
3r4/q5bk/1n2r1pp/2p1P3/3pR3/3Q3P/1PB2PPB/2KR4 w - - 3 32;d3b5;False;-173;117
r2r2k1/1pp2pbp/p2nb1p1/8/2p1P3/P1N2P2/BPPB2PP/2KR3R b - - 3 16;d6b5;False;109;52
r1bk3r/ppp3b1/3p1n2/7p/1q1p2pP/P2B2B1/1PPN1PP1/R2Q1RK1 b - - 0 17;b4a4;False;-90;72
8/6bk/1n2r1pp/2prP3/3pR3/7P/1PB1QPPB/q1KR4 w - - 11 36;c1d2;False;-166;55
r2k3r/pppb2b1/3p1n2/7p/q1Np2pP/P2B2B1/1PP2PP1/R2QR1K1 b - - 4 19;a4c6;False;-114;72
r2k3r/pppb2b1/2qp1n2/7p/2Np2pP/P2B2B1/1PP1QPP1/R3R1K1 b - - 6 20;h8e8;False;41;53
r1b2rk1/p1ppqppp/1bp2n2/4p3/3PP3/2P2N2/PP3PPP/RNBQ1RK1 w - - 0 9;f3e5;True;33;68
r1bq1rk1/pp4pp/1bn2p2/3ppn2/4P3/2P2NB1/PP1NBPPP/R2Q1RK1 b - - 0 11;f5g3;True;115;95
r1b2rk1/p1p2ppp/1bNp1n2/8/3Pq3/2P5/PP3PPP/RNBQ1RK1 w - - 0 11;c6b4;False;-35;57
r1bqk1nr/ppp4p/2np1pp1/2bN4/2BpP2B/5N2/PPP2PPP/R2QK2R b KQkq - 1 8;e8f8;False;30;123
r4rk1/p4ppp/bb1p1n2/2p5/3P3q/2P5/PPN2PPP/RNBQR1K1 w - - 4 14;f2f3;False;35;161
r4rk1/p4ppp/bb3n2/2pp4/3P3q/2P2P2/PPN3PP/RNBQR1K1 w - - 0 15;e1e5;False;23;129
r1bq1knr/ppp4p/2np1pp1/2bN4/2BpP2B/5N2/PPPQ1PPP/R3K2R b KQ - 3 9;f8g7;False;-113;90
4rk2/ppp5/2bp4/3nbPPp/3p2p1/P2B2B1/1PPN1KP1/R7 b - - 2 29;e5g3;True;301;281
1r1q1r1k/p5pp/1b3p2/3Bn3/3pP1b1/1N3NP1/PP3PP1/R2Q1RK1 b - - 2 18;f6f5;False;171;64
r1bqk2r/p4ppp/4pnn1/2pp4/2P5/1P1BPN2/P4PPP/R1BQ1RK1 w kq - 1 12;c1b2;False;180;79
1r1q1r1k/p5pp/1b6/3Bnp2/3pP1b1/5NP1/PP1N1PP1/R2Q1RK1 b - - 1 19;f5f4;False;209;108
1r1q1r1k/p5pp/1b6/3Bn3/Q2pPpb1/5NP1/PP1N1PP1/R4RK1 b - - 1 20;e5f3;True;464;104
4bk2/ppp5/8/3prPPp/3pBnpK/P5N1/1PP3P1/5R2 b - - 1 35;d5e4;True;144;78
r1b3nr/1pp1q1kp/1pnp1pp1/8/1PBNP2B/5P2/P1PQ2PP/R3K2R b KQ - 0 13;c6e5;False;-95;57
4bk2/ppp5/6P1/4rP1p/3p1RpK/P3p1N1/1PP3P1/8 b - - 0 37;e3e2;False;96;65
r1b3nr/1pp1q1kp/1p1p1pp1/4n3/1P1NP2B/1B3P2/P1PQ2PP/R3K2R b KQ - 2 14;g8h6;False;-52;218
1r1q1r1k/p5pp/1b6/3B4/Q2pP1b1/5NP1/PP4P1/R4RK1 b - - 0 22;d8d6;False;442;151
4bk2/ppp5/6P1/5PKp/3p1Rp1/P7/1PP1r1P1/8 b - - 1 39;h5h4;False;126;58
4bk2/ppp5/6P1/5PK1/3p2Rp/P7/1PP1r1P1/8 b - - 0 40;e2c2;True;107;96
r1b4r/1pp1q1kp/1p1p1p1n/4n1p1/1P1NP3/1B3PB1/P1PQ2PP/R4RK1 b - - 1 16;e5f7;False;-203;68
6k1/pbb2ppp/4r3/1P1p4/3P4/4BPnq/P1NQ3P/R3R1K1 w - - 0 30;e3f4;False;313;479
r2r4/p2R1pk1/4ppp1/2R5/8/1P2PP2/P4P1P/6K1 w - - 5 22;c5c7;False;167;74
6k1/pbb2ppp/4r3/1P1p4/3PnB2/5P1q/P1NQ3P/R3R1K1 w - - 2 31;e1e4;True;-53;456
r7/p1R2pk1/6p1/4pp2/8/1P2PP2/P4P1P/6K1 w - - 0 25;g1f1;False;185;69
r2qk2r/2p3p1/p1n1B2p/1p6/1b2P3/2Q1B3/PP3PPP/RN2K2R b KQkq - 0 15;d8f6;False;235;60
2kr1b1r/ppp1n1pp/3p1n2/3P2Nq/5B2/5Q2/PPPK2PP/R4B1R w - - 3 14;f3h5;True;226;101
2kr3r/2p1n1p1/p4q1p/1p6/4P3/1BN1B3/PP3PPP/R4RK1 b - - 2 19;c7c6;False;144;72
3r3r/1k2n1p1/p1p2q1p/1p6/4PP2/1BN1B3/PP4PP/2R2RK1 b - - 0 21;f6d6;False;81;66
r1b1k1nr/ppp2ppp/2Pb1q2/8/8/2N1BQ2/PPP5/R4BKR w kq - 2 14;f3e2;False;21;265
3r3r/1k2n1p1/p1p4p/1p2PP2/1q6/1BN1B3/PP4PP/2R2RK1 b - - 0 23;e7c8;False;-22;73
2k5/ppprn1bp/4N1p1/8/4p3/8/PPPK2PP/4RR2 w - - 0 24;d2e2;False;348;112
8/rp3k1Q/1Rnp4/2p5/5qp1/3B4/P1P3PP/6K1 b - - 0 37;f7e6;False;-151;76
r1b1k2r/p1p1nppp/2pb2q1/8/4N3/4B3/PPP1Q1B1/R5KR w kq - 2 17;c2c4;False;-266;144
r1b1kbnr/ppp1qppp/2n5/3P4/3P1p2/2N5/PPP1K1PP/R1BQ1BNR w kq - 1 7;e2f2;False;38;53
r1b1k1nr/ppp1nppp/3b4/3P4/3q4/2N3P1/PPP3K1/R1B1QBNR w kq - 0 12;h1h4;False;119;173
r1b1k1nr/ppp1nppp/3b1q2/3P4/7R/2N3P1/PPP3K1/R1B1QBN1 w kq - 2 13;c3e4;False;3;52
r1b1k1nr/ppp1nppp/3b2q1/3P4/4N2R/6P1/PPP3K1/R1B1QBN1 w kq - 4 14;f1d3;False;-18;95
3r4/5k2/1p3b1p/2p2pp1/p1b2P2/P1P1B1PP/1P3K2/2N1R3 b - - 2 30;g5f4;True;224;106
r3k1nr/pp2nppp/3p2q1/3P1b2/7R/3B2P1/PPP3K1/R1B1Q1N1 w kq - 0 16;d3b5;False;-115;53
3r4/5k2/1p6/2p2pp1/p1b5/P1P1K1PP/1P6/2N1R3 b - - 1 33;f7f6;False;240;65
8/2p4p/2kn1Rp1/pr6/4p1PP/1P2K3/2P5/7R w - - 0 35;h4h5;False;294;95
r4knr/pp2nppp/3p2q1/1B1P1b2/7R/6P1/PPP3K1/R1B1Q1N1 w - - 2 17;c2c4;False;-147;69
8/2p4p/2kn1Rp1/p1r4P/4p1P1/1P2K3/2P5/7R w - - 1 36;c2c4;False;268;61
3r4/8/1p3k2/2p2pp1/p1b4P/P1P1K1P1/1P6/2N1R3 b - - 0 34;g5h4;True;226;57
3r4/8/1p3k2/2p2p2/p1b4P/P1P1K3/1P6/2N1R3 b - - 0 35;d8e8;False;212;59
r4k1r/pp3ppp/3p1n2/1B1P1q2/2P3bR/6P1/PP4K1/R1B1Q3 w - - 0 21;c1f4;False;-165;51
r1bqr1k1/ppp3pp/3np3/3nNp2/3P4/B1PBPP2/P1Q3PP/R4RK1 w - - 1 15;a1e1;False;201;60
r6r/pp3pkp/3B4/1B1P1qp1/2P3n1/6P1/PP4K1/R3Q3 w - - 0 24;e1c3;False;0;181
r6r/pp4kp/3B1p2/1B1P1qp1/2P3n1/2Q3P1/PP4K1/R7 w - - 0 25;a1f1;False;-238;91
r6r/pp4kp/3B1p2/1B1P2p1/2P1q1n1/2Q3P1/PP4K1/5R2 w - - 2 26;g2g1;False;-334;134
r6r/pp4kp/3B1p2/1B1P2p1/2P3n1/2Q3P1/PP2q3/5RK1 w - - 4 27;f1f3;False;-477;138
r1b1r3/ppp2kpp/4pq2/5p2/2BPPn2/B1P2P2/P1Q3PP/4RRK1 w - - 3 19;e4f5;True;470;118
r2q1rk1/2p1bppp/p1n1b3/1p1p4/4PP2/2P1Q3/PPB3PP/RNBR2K1 b - - 1 14;f8e8;False;-3;65
r2qr1k1/2p1bppp/p1n1b3/1p1pP3/5P2/2P1Q3/PPB3PP/RNBR2K1 b - - 0 15;g7g6;False;31;100
r1bqr1k1/pppp1pbp/2n2np1/8/3NP3/2NQB3/PPP1BPPP/R4RK1 b - - 8 9;d8e7;False;23;52
r1bq1r2/ppp1npbk/6pp/4p3/2PnP3/2N1BN2/PP1QBPPP/3R1RK1 b - - 3 12;e7c6;False;55;59
r1b1r1k1/ppp1qpbp/2np1np1/1N4B1/4P3/2NQ4/PPP1BPPP/R4RK1 b - - 1 11;c6e5;False;49;157
r3r1k1/ppp1qpbp/3pbnp1/1N2n1B1/4PQ2/2N5/PPP1BPPP/R4RK1 b - - 5 13;e8c8;False;-52;70
r1bqr2k/2p4p/p1n3p1/1p1ppP2/PP4Qb/2P5/2B3PP/RNBR2K1 b - - 0 21;b5a4;True;249;119
r1r3k1/ppp1qpbp/3pbnp1/1N2n1B1/4P2Q/2N5/PPP1BPPP/R4RK1 b - - 7 14;c7c6;False;-97;71
r1r3k1/pp2qpbp/2ppbnp1/1N2n1B1/4PP1Q/2N5/PPP1B1PP/R4RK1 b - - 0 15;e5d7;False;-75;109
4rrk1/pp1b1pbp/2p3p1/6q1/2BN4/2P1PQ1P/PP4P1/4RRK1 b - - 6 17;g7e5;False;99;447
r1r3k1/pp1n1p2/2pp2pQ/8/4NPq1/8/PPP3PP/R4RK1 b - - 0 21;g4f5;False;-59;54
r1r3k1/pp1n1p2/2pp2pQ/5q2/4NP2/8/PPP3PP/4RRK1 b - - 2 22;c8e8;False;-74;75
r3r1k1/pp1n1p2/2pp2pQ/5q2/4NP2/4R3/PPP3PP/5RK1 b - - 4 23;e8e4;True;-57;68
r3r3/2p4k/p1n1q1p1/3ppb1p/BP5b/N1P4P/1B1Q2P1/R2R2K1 b - - 3 27;e8d8;False;283;70
r4r2/1p3p1k/2p3pp/p1q1b3/5Q2/PN1R4/5PPP/3R2K1 b - - 1 27;c5b5;False;303;128
r1b3k1/ppq2r2/2p2pn1/4p1p1/3pP1P1/1P1P1NQ1/1PPNKP2/6RR b - - 3 24;c7a5;False;117;190
r1bq1rk1/ppppnpbp/5np1/8/3NP3/2N1BB2/PPP2PPP/R2Q1RK1 b - - 8 9;d7d6;False;38;109
r1bq1rk1/ppp1npbp/3p1np1/8/3NP3/2N1BB2/PPPQ1PPP/R4RK1 b - - 1 10;f6d7;False;-59;50
4rr2/1p3pbk/2p3pp/1q6/p3N2Q/P2R4/5PPP/3R2K1 b - - 7 32;f7f5;False;363;185
r1b3k1/p5r1/2p2pnR/1pq1p1p1/3pP1P1/1P1P1NQ1/1PPN1P2/3K2R1 b - - 3 28;a7a5;False;65;54
r7/2p4k/p4rp1/2P1pn2/BP1pb1Pb/8/1BN5/R4RK1 b - - 0 36;f5h6;False;475;234
3r3k/ppbr1p1p/2p3p1/4q3/2B1bNPP/2P1P3/PP3R2/4RQK1 b - - 0 29;f7f5;False;257;66
3r3k/ppb4p/2p3p1/4qpP1/2B1bN1P/2P1P2Q/PP1r1R2/4R1K1 b - - 2 31;d2f2;True;336;98
r7/2p4k/p4bp1/2P1p3/1P1p2n1/8/2B5/2B1R1K1 b - - 1 40;g4h6;False;304;82
4k1r1/4q1r1/2p1b1nR/pp2p1NQ/3pP1P1/1P1P1P2/1PP5/3K3R b - - 0 35;e8d7;False;191;52
r2q4/pp1bnrkp/2pp1pp1/5P2/3NP3/2N5/PPPQ2PP/3R1RK1 b - - 0 18;e7c8;False;-138;52
5r2/7R/2pk1qn1/pp2pQ2/3pP1P1/1P1P1P2/1PP5/3K4 b - - 4 42;f6f5;True;229;103
r1n1q3/pp2r1kp/2ppP1p1/4p1Q1/8/2NR4/PPP3PP/5RK1 b - - 4 23;e7e6;True;-318;183
5r2/7R/2pk4/pp1npP2/3p2P1/1P1P1P2/1PPK4/8 b - - 4 45;a5a4;False;172;68
5r2/3k3R/2p5/3npP2/p2p2P1/3P1P2/1PPK4/8 b - - 3 48;d5e7;False;128;82
5r2/3kn3/2p4R/4pP2/p2p2P1/3P1P2/1PPK4/8 b - - 5 49;e7c8;False;120;84
2n1r3/3k4/2p4R/4pP2/p2p2P1/3P1P2/1PPK4/8 b - - 9 51;c8d6;False;122;64
r1bqk1nr/pppp1ppp/1bn5/4p3/2BPP3/2P2N2/P4PPP/RNBQ1RK1 b kq - 0 7;e5d4;True;26;63
rnbqk2r/p4ppp/1p3b2/2pp4/3P4/2NB1N2/PPP2PPP/R2QK2R w KQkq - 0 10;d3b5;False;174;89
4r3/2R5/2pnkP2/4p1P1/p2p4/3P1P2/1PPK4/8 b - - 4 57;e6f5;False;129;129
r1bqk1nr/ppp2ppp/2np4/b3p3/2BPP3/2P2N2/P4PPP/RNBQ1RK1 b kq - 0 7;e5d4;True;32;65
r1bqk1nr/ppp2ppp/2np4/b7/2BPP3/5N2/P4PPP/RNBQ1RK1 b kq - 0 8;a5b6;False;63;72
rn3k1r/p4ppp/1p2qb2/3pN3/2pP4/2N5/PPP1QPPP/2KR3R w - - 2 15;f2f4;False;322;108
r1b1k1nr/ppp1qpbp/2p3p1/4p3/4P3/2NPBN2/PPP2PPP/R2QK2R b KQkq - 4 7;c8e6;False;31;72
r3k1nr/ppp1qpb1/2p1b1pp/4p3/4P3/2NPB3/PPPN1PPP/R2Q1RK1 b kq - 1 9;g6g5;False;67;85
r4k1r/p1n1bppp/4q3/1p1pN1P1/2pP1P2/2N2Q2/PPP4P/2KR3R w - - 1 19;f4f5;False;272;97
r1b1k1nr/pppq2pp/1b1p1p2/8/2QPPB2/2N2N2/P4PPP/R4RK1 b kq - 0 13;d7f7;False;-21;76
r3k2r/ppp1qpb1/2p1bn1p/4p1p1/4P3/P1NPBP2/1PPN2PP/R2Q1RK1 b kq - 0 11;f6d7;False;31;65
r2qkb1r/1bpnnp1p/p2p2p1/3Pp3/B3P3/2P2N2/1P3PPP/RNBQK2R w KQkq - 1 12;h2h4;False;165;95
r1bq1rk1/ppp2p2/1b1p2np/3P4/P1B1p3/6RN/5PPP/1N1Q1R1K b - - 3 17;g8h7;False;138;53
r3k2r/p1pnqpb1/1pp1b3/4p1pp/4P3/P1NPBP2/1PPN1QPP/R3R1K1 b kq - 1 14;c6c5;False;21;67
r1nq1rk1/1bpnbp2/p2p3p/3Pp1pP/B3P1P1/2P1BN2/1P1N1P2/R2QK2R w KQ - 5 17;a4c2;False;187;80
2r1k1nr/1ppb1q1p/1p1p1p2/8/3PP1p1/Q5B1/P2N1PPP/R3R1K1 b k - 1 20;d7e6;False;-106;58
r2q1rk1/1b1nbp2/pnpp3p/3Pp1pP/2P1P1P1/4BN2/1PBN1P2/R2QK2R w KQ - 1 19;f3g1;False;103;72
3rnk1r/p4pp1/5q1p/1p1pNPbQ/3P4/8/PPP1N2P/1K1RR3 w - - 5 26;e2g3;False;281;113
r3k2r/p1pnqpb1/1p6/2pPp1pp/2P5/P2PBP2/1P1N1QPP/1R2R1K1 b kq - 0 18;f7f6;False;-33;95
r1b2k2/p4p2/1bpp3p/P7/2B1pn2/6R1/2N2PPP/5R1K b - - 0 26;b6d8;False;257;64
r1r3k1/1bqnbp2/pnpp3p/3Pp1pP/2P1P1P1/1P2B3/2BN1P2/R2QK1NR w KQ - 1 21;d5c6;True;90;86
r1bb1k2/p4p2/2pp3p/P7/2BNpn2/6R1/5PPP/5R1K b - - 2 27;c8d7;False;235;50
2r1k2r/1pp2q1p/1p2b3/3pPn2/3N4/Q5B1/P5PP/R4RK1 b k - 3 26;f7g6;False;-145;114
2r1k2r/1p5p/1p4q1/2ppPb2/7B/Q4R2/P5PP/R5K1 b k - 1 29;e8d7;False;-128;158
rn1qkb1r/pbpp2pp/1p2p2n/4Pp2/3P1P2/3B1N2/PPP3PP/RNBQK2R w KQkq - 0 7;e1g1;False;106;61
r1r3k1/1b3p2/3pq2p/2n1p1pP/P3P1P1/3BBP2/3Q4/R4RK1 w - - 1 31;e3c5;True;0;51
2r2r2/1p1k3p/1p4q1/2ppPb2/7B/Q5R1/P5PP/5RK1 b - - 5 31;g6h6;False;-122;56
2r2r2/1p1k3p/1p3B1q/2ppPb2/8/Q5R1/P5PP/5RK1 b - - 7 32;f5e6;False;-155;199
2r2r2/Qp1k3p/1p2bB1q/2ppP3/8/6R1/P5PP/5RK1 b - - 9 33;d7c7;False;-348;245
2r2r2/Qpk4p/1p2bB1q/2ppP3/8/1R6/P5PP/5RK1 b - - 11 34;c7d7;False;-331;426
3r1bk1/p4p2/1pb3pp/2p5/6P1/P1P1B2P/1P1N1P2/4R1K1 b - - 4 24;f7f6;False;103;53
2r3k1/5p2/bRr1q2p/P3p1pP/4P1P1/2p1QP2/2B5/R5K1 w - - 1 37;g1f2;False;0;73
8/5pk1/7p/6pP/4P1P1/1r1K1P2/2p5/2R5 w - - 1 48;d3c2;True;-11;143
8/5pk1/7p/6pP/4P1P1/5r2/2K5/2R5 w - - 0 49;c1g1;False;-122;73
r2q1r1k/pb2b1p1/1pn3Bn/3pP3/2p2P2/2N2N2/PPQ3PP/R1B2RK1 w - - 0 17;c2e2;False;178;80
8/5pk1/7p/6pP/4P1P1/4r3/2K5/6R1 w - - 2 50;c2d2;False;-193;150
5k2/p4p2/1b5p/3b1P1R/8/3ppBK1/2r4P/R7 b - - 4 44;d5f3;True;999;551
8/R4rk1/7p/6pP/6p1/4K3/8/8 w - - 6 59;a7a4;False;-232;241
r1bqkb1r/ppp2ppp/5n2/3pn3/4P3/2NP4/PPP3PP/R1BQKBNR w KQkq - 0 6;e4d5;True;15;139
5k2/p4p2/1b5p/5P1R/4K3/3pp3/5r1P/R7 b - - 2 46;e3e2;False;590;151
8/6k1/7p/6pP/5rR1/4K1p1/8/8 w - - 2 61;g4g3;True;-460;105
r1bqkb1r/ppp2ppp/8/3nn3/8/2NP4/PPP3PP/R1BQKBNR w KQkq - 0 7;c3d5;True;39;131
r1b1kb1r/ppp2ppp/8/3qn3/8/3P4/PPP3PP/R1BQKBNR w KQkq - 0 8;d3d4;False;-77;188
r1b1k2r/p1ppnppp/2n1q3/bp2P3/8/3B1N2/P3NPPP/RQB2RK1 b kq - 3 13;e7g6;False;140;140
5r1k/p3r1p1/4P2n/2pp1nNq/2p2Pb1/8/PP1B2PP/R2BQR1K w - - 3 27;d1f3;False;204;73
5r1k/p3r1p1/4P2n/2pp2Nq/2pn1Pb1/5B2/PP1B2PP/R3QR1K w - - 5 28;e1e5;False;161;172
r1bqk2r/3n1ppp/p3p3/1pbpP3/1n3P2/2NB1N2/PPPBQ1PP/R3K2R w KQkq - 0 11;c3d1;False;52;51
7R/8/7r/6pk/7p/7K/8/8 w - - 10 74;h8g8;False;-403;134
2k1r2r/pp3Qpp/q1pb2n1/8/1P1P4/2P2B2/P4KPP/R1B4R w - - 1 17;f7b3;False;18;107
2k1rr2/pp4pp/q1pb2n1/8/1P1P4/1QP2B2/P4KPP/R1B4R w - - 3 18;c3c4;False;-31;139
2k1rr2/pp4pp/1qpb2n1/8/1PPP4/1Q3B2/P4KPP/R1B4R w - - 1 19;c4c5;False;-91;63
6R1/5r2/8/8/5kp1/7p/7K/8 w - - 8 84;g8g6;False;-463;207
r2qkn1r/1b2b1pp/p3p3/1p1pPp2/1P1N1P2/P2PB3/4Q1PP/2RNK2R w Kkq - 6 18;e1g1;False;229;62
r1b2rk1/p1pp1p1p/2n2qnQ/bp3B2/8/5N2/P3NPPP/R4RK1 b - - 1 22;d7d6;False;516;135
2k2r2/pp4pp/2pP2n1/5q2/1P1P4/1Q3BK1/P3r1PP/R1B4R w - - 3 22;h1f1;False;466;184
3k1r2/pp1P2pp/2p5/5q2/1P1P1n2/1Q3BK1/P3r1PP/R1B2R2 w - - 1 24;c1f4;True;434;669
r2qk1nr/ppbn1ppp/2p5/2Pppb2/1P1P4/P1N1PN2/4BPPP/R1BQK2R b KQkq - 1 9;g8f6;False;111;112
