FEN;move;first_eval;is_capture;move_impact
q6r/p1pk1p2/1b2b3/3pQ2p/3p2p1/6P1/PPPN2PP/4RR1K b - - 3 19;a8g8;False;-104;60
r1b1kbnr/pp1p1ppp/8/2p1q3/2BpP3/2P5/PP3PPP/RNBQ1RK1 w kq - 0 8;f2f4;False;237;66
2rq1rk1/5ppp/p2bbn2/np1p4/N2P4/4PN2/PB2BPPP/R1RQ2K1 w - - 0 16;a4c3;False;-40;140
r1b1kbnr/pp1p1ppp/1q6/2p1P3/2Bp1P2/2P5/PP4PP/RNBQ1RK1 w kq - 1 10;g1h1;False;229;88
r2r4/1p3pk1/p7/2PBq2p/3R1pn1/1NN1P3/1P4PP/2BR2K1 w - - 0 22;e3f4;True;431;155
2r2rk1/5ppp/p2b1n2/qp1p1b2/2nP4/PQN1PN2/1B2BPPP/R1R3K1 w - - 1 19;a3a4;False;-120;52
r2r4/1pq2pk1/7n/p1PB3p/3RNP2/1N5P/1P4P1/2BR2K1 w - - 1 25;c1e3;False;357;196
r2qk2r/ppp2pp1/2npbn1p/4p3/2B1P2B/2P2N2/PPP2PPP/R2Q1RK1 w kq - 2 9;c4d3;False;-13;85
r2r4/1pq2pk1/8/p1PB1n1p/3RNP2/1N2B2P/1P4P1/3R2K1 w - - 3 26;d4d3;False;216;233
2r2rk1/5ppp/pn1b4/q4b2/PpBP4/1Q2PN2/1B3PPP/R1R3K1 w - - 1 22;c4d3;False;0;62
r2qk2r/ppp2p2/2npbn1p/4p1p1/4P2B/2PB1N2/PPP2PPP/R2Q1RK1 w kq - 0 10;f3g5;True;-88;121
3r1k2/1pq2p2/3R4/p1P3Rp/4NP2/1N2n2P/1P4P1/6K1 w - - 4 30;g1f2;False;0;255
3r1k2/1pq2p2/3R4/p1P3Rp/2n1NP2/1N5P/1P3KP1/8 w - - 6 31;d6f6;False;-293;120
2r2rk1/5ppp/pn1bb3/q7/P2P4/1p1BPN2/1B3PPP/R1RQ2K1 w - - 0 24;e3e4;False;43;94
2r2rk1/5ppp/p2bb3/q7/n2PP3/1p1B1N2/1B3PPP/R1RQ2K1 w - - 0 25;d4d5;False;-58;73
r2qk1r1/ppp2p2/2npbn2/4p1B1/4P3/2PB4/PPP2PPP/R2Q1RK1 w q - 1 12;g5h4;False;-227;133
2r2rk1/3b1ppp/p2b4/q2P4/n3P3/1p1B1N2/1B3PPP/R1RQ2K1 w - - 1 26;d1b3;True;161;236
5rk1/3b1ppp/p2b4/q2P4/n3P3/1Q1B1N2/1B3PPP/R1r3K1 w - - 0 27;a1c1;True;139;423
r2qk1r1/ppp2p2/2np1n2/4p3/4P1b1/2PB2B1/PPP2PPP/R2Q1RK1 w q - 5 14;d1d2;False;-224;135
r2qrnk1/pp1n2pp/2pb1p2/3pN3/3P1P2/3B3P/PPPB1QP1/R4R1K w - - 0 16;a1e1;False;121;181
r1b1Qb1r/pp5p/1q3P1p/2pkP3/3p4/2P5/PP4PP/RN3R1K w - - 4 18;c3d4;True;2990;2676
1r2b1k1/2R2ppp/p7/3P4/1b2P3/3B1N2/5PPP/6K1 w - - 1 32;c7a7;False;173;94
rnbqk2r/pp1p1ppp/4pn2/8/1b1NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 3 6;f1d3;False;111;98
r1bqk2r/pp3ppp/2p1pn2/8/1b2P3/2NB4/PPP2PPP/R1BQK2R w KQkq - 0 8;e1g1;False;94;85
r2nk2r/b1p1qppp/p2p1n2/4p3/P1N1PP2/2PP1B2/6PP/R1BQK2R w KQkq - 0 14;c4e3;False;136;109
rnbq1k1r/ppp2p1p/3b4/1B1PN2n/3P1ppP/8/PPP3P1/RNBQK2R w KQ - 3 10;e1g1;False;-75;57
1r1n1rk1/b1p1qppp/p2p1n2/4pP2/P3P3/2PPNB2/6PP/R1BQK2R w KQ - 1 16;e1g1;False;117;99
rnb2k1r/ppp2p1p/3b4/1B1PN2n/3P1ppq/8/PPP3P1/RNBQ1RK1 w - - 0 11;c1f4;True;-109;88
r3qR2/pp4k1/2p1r1Bp/3pn3/6Q1/7P/PPP3P1/5R1K w - - 2 27;f8e8;True;3995;3622
rn1q1rk1/pbp1bppp/1p2pn2/4N3/3P4/2NBB3/PPP2PPP/R2Q1RK1 w - - 2 10;f2f4;False;45;62
1r3rk1/b1p1qppp/p2p1n2/n3pP2/P3P3/2PPNB2/6PP/R1BQ1R1K w - - 5 18;e3g4;False;39;55
r1b1k2r/pp3pp1/2p2n1p/q3p3/2P1PP2/3B4/P1P3PP/R1BQ1RK1 w kq - 0 12;f4e5;True;104;62
rnb3kr/ppp2p1p/3b3B/1B1PN2n/3P3q/6p1/PPP3P1/RN1Q1RK1 w - - 2 13;f1f3;False;227;417
8/pppbk3/3p1pQ1/4p3/4P1P1/2P1KPP1/PPP1r3/4r3 w - - 0 30;e3d3;False;-160;59
1r2q1k1/brp3pp/p2p1p2/n3pP2/P3P1B1/B1PP4/2Q3PP/1R3R1K w - - 6 23;h2h3;False;36;131
rnb3kr/ppp2p1p/3b3B/1B1PN2n/3P4/5Rp1/PPP1K1q1/RN1Q4 w - - 0 16;e2d3;False;132;212
r2q1rk1/pbpnb2p/1p4p1/3pNp2/3P1P2/3BB2R/PPP1Q1PP/R5K1 w - - 0 15;g2g4;False;144;118
rnb3kr/ppp4p/3b1p1B/1B1PN2n/3P4/3K1Rp1/PPP3q1/RN1Q4 w - - 0 17;b5c4;False;278;439
8/4r1k1/2p1r2p/1p1pnQ2/6P1/2P4P/PP6/5R1K w - - 1 34;b2b3;False;475;157
r3k2r/pp3pp1/2p1b2p/8/2PqPBn1/3B4/P1P1Q1PP/R4R1K w kq - 6 16;h2h3;False;81;56
rn1q1rk1/ppp2ppp/3b1nb1/3p4/3P2P1/2NB1N1P/PPP2P2/R1BQ1RK1 w - - 1 10;c1g5;False;25;61
6k1/b1p3pp/p1np1p2/1q2pP2/1B2P3/2PP3P/6P1/1Q1B3K w - - 4 28;b1a2;False;116;133
rn1q1rk1/ppp1bppp/5nb1/3p2B1/3P2P1/2NB1N1P/PPP2P2/R2Q1RK1 w - - 3 11;d1d2;False;15;70
rnb1k2r/ppp1qp1p/3b4/3PN2n/2BP1ppP/8/PPP3P1/RNBQ1RK1 w kq - 3 10;f1e1;False;40;275
